TSP,SO2,SO4,NO2,date,YY,MM
93.88461538461539,0.9716129032258065,7.119230769230768,0.0,1989-05-01,89,5
61.827586206896555,0.9543333333333333,5.936,0.0,1989-06-01,89,6
51.064516129032256,0.40435483870967753,3.061538461538461,0.0,1989-07-01,89,7
36.25806451612903,0.3470967741935484,4.415384615384616,0.0,1989-08-01,89,8
35.407407407407405,0.6823333333333335,4.1130434782608685,0.0,1989-09-01,89,9
18.608695652173914,0.71,4.030769230769231,0.0,1989-10-01,89,10
46.285714285714285,2.7129999999999996,5.564,0.0,1989-11-01,89,11
24.095238095238095,3.734193548387097,4.507692307692308,0.0,1990-12-01,90,12
23.25,4.2470967741935475,4.192307692307692,0.0,1990-01-01,90,1
29.035714285714285,3.7423809523809526,5.360869565217391,0.0,1990-02-01,90,2
21.29032258064516,3.8858064516129036,3.4807692307692317,0.0,1990-03-01,90,3
45.766666666666666,1.1730769230769231,6.120833333333334,0.0,1990-04-01,90,4
57.935483870967744,0.8700000000000001,1.7423076923076926,0.0,1990-05-01,90,5
25.966666666666665,0.6643333333333332,1.432,0.0,1990-06-01,90,6
42.793103448275865,0.7307407407407406,2.226923076923077,0.0,1990-07-01,90,7
23.612903225806452,0.573,2.2307692307692304,0.0,1990-08-01,90,8
18.529411764705884,0.8853333333333333,2.627999999999999,0.0,1990-09-01,90,9
33.32142857142857,1.869354838709677,4.25,0.0,1990-10-01,90,10
17.6,2.431666666666666,2.6919999999999997,0.0,1990-11-01,90,11
16.93548387096774,3.475806451612903,4.11923076923077,0.0,1991-12-01,91,12
16.419354838709676,3.6109677419354838,4.73076923076923,0.0,1991-01-01,91,1
41.17857142857143,11.73076923076923,13.38695652173913,0.0,1991-02-01,91,2
35.310344827586206,1.5503333333333333,10.565384615384614,0.0,1991-03-01,91,3
45.766666666666666,1.1730769230769231,6.120833333333334,0.0,1991-04-01,91,4
62.63333333333333,0.6770967741935485,3.826923076923076,0.0,1991-05-01,91,5
46.07142857142857,0.6821428571428573,3.534782608695652,0.0,1991-06-01,91,6
32.37931034482759,0.45774193548387093,2.603846153846154,0.0,1991-07-01,91,7
39.67741935483871,0.309375,2.623076923076923,0.0,1991-08-01,91,8
29.466666666666665,0.7527586206896553,2.748,0.0,1991-09-01,91,9
37.92,1.607741935483871,3.3576923076923078,0.0,1991-10-01,91,10
21.1,2.861666666666667,5.9319999999999995,0.0,1991-11-01,91,11
16.93548387096774,1.8683333333333334,5.11153846153846,0.0,1992-12-01,92,12
20.666666666666668,5.548387096774194,4.0838709677419365,0.0,1992-01-01,92,1
21.714285714285715,5.402068965517242,7.817241379310343,0.0,1992-02-01,92,2
44.45161290322581,4.330000000000001,8.0,0.0,1992-03-01,92,3
30.714285714285715,0.9391666666666668,6.963333333333335,0.0,1992-04-01,92,4
51.483870967741936,0.7967741935483872,3.6870967741935496,0.0,1992-05-01,92,5
47.1,0.20033333333333334,2.5233333333333334,0.0,1992-06-01,92,6
47.16129032258065,0.11854838709677419,2.9161290322580653,0.0,1992-07-01,92,7
49.206896551724135,0.2330645161290323,5.067741935483871,0.0,1992-08-01,92,8
52.833333333333336,0.408,2.986666666666667,0.0,1992-09-01,92,9
26.65,0.8106451612903227,3.320689655172413,0.0,1992-10-01,92,10
17.4375,1.5036666666666667,3.6719999999999997,0.0,1992-11-01,92,11
29.322580645161292,3.659677419354839,4.448387096774193,0.0,1993-12-01,93,12
15.7,1.7462903225806454,4.208333333333334,0.0,1993-01-01,93,1
22.05,4.615185185185185,1.7173913043478262,0.0,1993-02-01,93,2
36.83870967741935,3.9489999999999994,4.661290322580645,0.0,1993-03-01,93,3
44.46666666666667,1.863,2.499999999999999,0.0,1993-04-01,93,4
60.38709677419355,1.1929032258064516,1.5419354838709678,0.0,1993-05-01,93,5
31.366666666666667,0.4516666666666667,1.5866666666666667,0.0,1993-06-01,93,6
40.46666666666667,0.6419354838709678,2.5645161290322585,0.0,1993-07-01,93,7
28.333333333333332,0.27177419354838706,1.5645161290322585,0.0,1993-08-01,93,8
26.666666666666668,0.4838333333333334,2.044827586206897,0.0,1993-09-01,93,9
26.392857142857142,0.6613793103448274,3.1225806451612903,0.0,1993-10-01,93,10
23.93103448275862,4.0458620689655165,6.746666666666667,0.0,1993-11-01,93,11
25.55,2.88741935483871,4.134782608695652,0.0,1994-12-01,94,12
24.866666666666667,2.2246666666666663,3.903225806451613,0.0,1994-01-01,94,1
34.357142857142854,3.831785714285714,4.414285714285715,0.0,1994-02-01,94,2
33.55172413793103,2.43516129032258,3.3275862068965503,0.0,1994-03-01,94,3
60.36666666666667,1.1566666666666667,3.5466666666666664,0.0,1994-04-01,94,4
47.45161290322581,0.20999999999999996,1.6548387096774193,0.0,1994-05-01,94,5
33.84,0.4516666666666667,1.3299999999999996,0.0,1994-06-01,94,6
