date,TSP,SO2,SO4,NO2,YY,MM,TSP_resid,SO2_resid,SO4_resid,NO2_resid
1991-07-01,32.37931034482759,0.45774193548387093,2.603846153846154,0.0,91,7,0.12067953294989975,-0.15122981770039812,0.062390211223702474,0.0
1991-08-01,39.67741935483871,0.309375,2.623076923076923,0.0,91,8,-0.2601042437885477,0.24339461875010127,-0.058787631563984255,0.0
1991-09-01,29.466666666666665,0.7527586206896553,2.748,0.0,91,9,0.37953513820583895,0.02447894397967465,-0.19513349304133032,0.0
1991-10-01,37.92,1.607741935483871,3.3576923076923078,0.0,91,10,0.02293381605223388,0.8360372035255099,0.11127129384782264,0.0
1991-11-01,21.1,2.861666666666667,5.9319999999999995,0.0,91,11,0.4744550518085049,0.4850027966278864,0.006790345825326227,0.0
1992-12-01,16.93548387096774,1.8683333333333334,5.11153846153846,0.0,92,12,-0.20426696638549702,-0.23080640153623855,0.5981712313308911,0.0
1992-01-01,20.666666666666668,5.548387096774194,4.0838709677419365,0.0,92,1,-0.09838126487273913,-0.6729175856644735,-0.19105033883417866,0.0
1992-02-01,21.714285714285715,5.402068965517242,7.817241379310343,0.0,92,2,-0.10252266667066845,0.41597821378017796,-0.6130868215176846,0.0
1992-03-01,44.45161290322581,4.330000000000001,8.0,0.0,92,3,-0.2233443748149524,0.1530745472049133,0.024417876961256635,0.0
1992-04-01,30.714285714285715,0.9391666666666668,6.963333333333335,0.0,92,4,0.4275379627884086,0.7208905640674819,0.11432090894341651,0.0
1992-05-01,51.483870967741936,0.7967741935483872,3.6870967741935496,0.0,92,5,-0.3604847471536705,-0.6787445881483104,0.1342363589936768,0.0
1992-06-01,47.1,0.20033333333333334,2.5233333333333334,0.0,92,6,-0.025978241970261884,0.1886326564208039,-0.31148812631767786,0.0
1992-07-01,47.16129032258065,0.11854838709677419,2.9161290322580653,0.0,92,7,0.19428264799745287,-1.3658761729211792,-0.38601662643822787,0.0
1992-08-01,49.206896551724135,0.2330645161290323,5.067741935483871,0.0,92,8,0.17727392694474542,-0.6833778242142694,0.3169977466502272,0.0
1992-09-01,52.833333333333336,0.408,2.986666666666667,0.0,92,9,0.4425591655830994,0.3040619740852617,0.4641577702205768,0.0
1992-10-01,26.65,0.8106451612903227,3.320689655172413,0.0,92,10,0.5288266105684416,0.29524795376057755,-0.16626960174397176,0.0
1992-11-01,17.4375,1.5036666666666667,3.6719999999999997,0.0,92,11,-0.15442803818063977,0.06368259381362759,-0.08121188447263217,0.0
1993-12-01,29.322580645161292,3.659677419354839,4.448387096774193,0.0,93,12,-0.32515030993606864,-0.4281691675672695,-0.12840753232837976,0.0
1993-01-01,15.7,1.7462903225806454,4.208333333333334,0.0,93,1,0.48710150243135253,0.5340037599790709,-0.027627906716565676,0.0
1993-02-01,22.05,4.615185185185185,1.7173913043478262,0.0,93,2,-0.5442235792577645,-0.8731157385579732,-0.30510627019302583,0.0
1993-03-01,36.83870967741935,3.9489999999999994,4.661290322580645,0.0,93,3,-0.1509844706013892,0.5255571195895077,-1.3821811838722486,0.0
1993-04-01,44.46666666666667,1.863,2.499999999999999,0.0,93,4,0.14170194161505467,0.7303175888924167,0.36376150960935316,0.0
1993-05-01,60.38709677419355,1.1929032258064516,1.5419354838709678,0.0,93,5,0.0899467498880453,0.3557508146115905,-0.49788801579790953,0.0
1993-06-01,31.366666666666667,0.4516666666666667,1.5866666666666667,0.0,93,6,0.015482985211225042,0.4948563706637983,-0.47965705656856156,0.0
1993-07-01,40.46666666666667,0.6419354838709678,2.5645161290322585,0.0,93,7,-0.3271313236317619,-0.31725500565976383,-0.11685820174302097,0.0
1993-08-01,28.333333333333332,0.27177419354838706,1.5645161290322585,0.0,93,8,0.07231070194588707,0.9440877793492373,0.4914438295631477,0.0
1993-09-01,26.666666666666668,0.4838333333333334,2.044827586206897,0.0,93,9,-0.1396638968852555,-0.13370556211470808,-0.6696908556593981,0.0
1993-10-01,26.392857142857142,0.6613793103448274,3.1225806451612903,0.0,93,10,-0.06630581737737673,0.3511194971489936,0.18307317481724994,0.0
